nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,link,latitude,longitude
Taman Budaya Sentul City,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.5,22727,https://www.google.com/maps/place/Taman+Budaya+Sentul+City/data=!4m7!3m6!1s0x2de423a153dbb7df:0xaac1aacd454d4019!8m2!3d-6.5840022!4d106.8827827!16s%2Fg%2F1hm2399fm!19sChIJ37fbU6Ej5C0RGUBNRc2qwao?authuser=0&hl=id&rclk=1,-6.5840022,106.8827827
Leuwi Kunten Sentul Bogor,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,1785,https://www.google.com/maps/place/Leuwi+Kunten+Sentul+Bogor/data=!4m7!3m6!1s0x2e69b9b3ba4bab7f:0x55c0be75aa77f03d!8m2!3d-6.578766!4d106.9189104!16s%2Fg%2F11n73frrc8!19sChIJf6tLurO5aS4RPfB3qnW-wFU?authuser=0&hl=id&rclk=1,-6.578766,106.9189104
ECOART PARK Sentul City,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,11780,https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1,-6.5687222,106.8457512
Goa Garunggang - Puncak Dua,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,765,https://www.google.com/maps/place/Goa+Garunggang+-+Puncak+Dua/data=!4m7!3m6!1s0x2e69b8f2b423c98f:0xdbb608bf20de3406!8m2!3d-6.57315!4d106.936201!16s%2Fg%2F11c6lp4wrz!19sChIJj8kjtPK4aS4RBjTeIL8Itts?authuser=0&hl=id&rclk=1,-6.57315,106.936201
Sentul Paradise Park,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.4,901,https://www.google.com/maps/place/Sentul+Paradise+Park/data=!4m7!3m6!1s0x2e69c7f6aaaaaaab:0x4f13a90f01e69731!8m2!3d-6.6142565!4d106.9085544!16s%2Fg%2F12qgwv_8h!19sChIJq6qqqvbHaS4RMZfmAQ-pE08?authuser=0&hl=id&rclk=1,-6.6142565,106.9085544
Curug Bidadari Sentul Paradise Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,4588,https://www.google.com/maps/place/Curug+Bidadari+Sentul+Paradise+Bogor/data=!4m7!3m6!1s0x2e69c12165130ec3:0xd6aa07e3c1d4c5e8!8m2!3d-6.6140213!4d106.9084002!16s%2Fg%2F11cs5nytgd!19sChIJww4TZSHBaS4R6MXUweMHqtY?authuser=0&hl=id&rclk=1,-6.6140213,106.9084002
Taman Wisata Alam Gunung Pancar,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,4060,https://www.google.com/maps/place/Taman+Wisata+Alam+Gunung+Pancar/data=!4m7!3m6!1s0x2e69c7791e515175:0x3f7386a4724f7630!8m2!3d-6.5805618!4d106.9036852!16s%2Fg%2F11bw3c7jgt!19sChIJdVFRHnnHaS4RMHZPcqSGcz8?authuser=0&hl=id&rclk=1,-6.5805618,106.9036852
"Curug Aren, Sentul Forest Club",Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,444,"https://www.google.com/maps/place/Curug+Aren,+Sentul+Forest+Club/data=!4m7!3m6!1s0x2e69c703caf2518d:0x8f2b6f31e2a06f45!8m2!3d-6.6183819!4d106.9082798!16s%2Fg%2F11sbkbvnx4!19sChIJjVHyygPHaS4RRW-g4jFvK48?authuser=0&hl=id&rclk=1",-6.6183819,106.9082798
JungleLand Adventure Theme Park,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.4,31171,https://www.google.com/maps/place/JungleLand+Adventure+Theme+Park/data=!4m7!3m6!1s0x2e69c7094bce937d:0x4adbce6cd63515dd!8m2!3d-6.5722214!4d106.8947026!16s%2Fg%2F1hm50d40n!19sChIJfZPOSwnHaS4R3RU11mzO20o?authuser=0&hl=id&rclk=1,-6.5722214,106.8947026
Sentul Nirwana,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,2465,https://www.google.com/maps/place/Sentul+Nirwana/data=!4m7!3m6!1s0x2e69c775a9782cc9:0x77781998ad062007!8m2!3d-6.5815736!4d106.892206!16s%2Fg%2F11g8vqmdlj!19sChIJySx4qXXHaS4RByAGrZgZeHc?authuser=0&hl=id&rclk=1,-6.5815736,106.892206
Treking sentull,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,10291,https://www.google.com/maps/place/Treking+sentull/data=!4m7!3m6!1s0x2e69b8538fd00129:0xfa8b547834f0ac2c!8m2!3d-6.5893251!4d106.9546789!16s%2Fg%2F11cm02mrhj!19sChIJKQHQj1O4aS4RLKzwNHhUi_o?authuser=0&hl=id&rclk=1,-6.5893251,106.9546789
Leuwi Pangaduan,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.4,1421,https://www.google.com/maps/place/Leuwi+Pangaduan/data=!4m7!3m6!1s0x2e69c78b969cad9f:0x47d33c093aa63764!8m2!3d-6.6007184!4d106.9061239!16s%2Fg%2F11j6zh6h6p!19sChIJn62clovHaS4RZDemOgk800c?authuser=0&hl=id&rclk=1,-6.6007184,106.9061239
Tugu Pancakarsa Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,427,https://www.google.com/maps/place/Tugu+Pancakarsa+Sentul/data=!4m7!3m6!1s0x2e69c102371add19:0x712444476b1821dc!8m2!3d-6.5325362!4d106.8533392!16s%2Fg%2F11smfy4mgb!19sChIJGd0aNwLBaS4R3CEYa0dEJHE?authuser=0&hl=id&rclk=1,-6.5325362,106.8533392
Hutan Hujan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,340,https://www.google.com/maps/place/Hutan+Hujan+Sentul/data=!4m7!3m6!1s0x2e69b99106288ee3:0xa1a1a08723a58c1a!8m2!3d-6.5792586!4d106.9277932!16s%2Fg%2F11rc46fdmy!19sChIJ444oBpG5aS4RGoylI4egoaE?authuser=0&hl=id&rclk=1,-6.5792586,106.9277932
Wisata Bukit Domba,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,454,https://www.google.com/maps/place/Wisata+Bukit+Domba/data=!4m7!3m6!1s0x2e69c9004a61e28f:0xcb6829b09c739e1d!8m2!3d-6.6248368!4d106.9063456!16s%2Fg%2F11y66960h1!19sChIJj-JhSgDJaS4RHZ5znLApaMs?authuser=0&hl=id&rclk=1,-6.6248368,106.9063456
KM 0 Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,1432,https://www.google.com/maps/place/KM+0+Sentul/data=!4m7!3m6!1s0x2e69c7c77ef5d28b:0xff255ccc323e7103!8m2!3d-6.6191938!4d106.9014081!16s%2Fg%2F11kcjl3cv8!19sChIJi9L1fsfHaS4RA3E-MsxcJf8?authuser=0&hl=id&rclk=1,-6.6191938,106.9014081
Curug Cinta Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,313,https://www.google.com/maps/place/Curug+Cinta+Putri+Kencana/data=!4m7!3m6!1s0x2e69b838fc4ad18f:0xe86fe16504b7013a!8m2!3d-6.6078603!4d106.943515!16s%2Fg%2F11c1pqtqx8!19sChIJj9FK_Di4aS4ROgG3BGXhb-g?authuser=0&hl=id&rclk=1,-6.6078603,106.943515
Curug Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,1725,https://www.google.com/maps/place/Curug+Putri+Kencana/data=!4m7!3m6!1s0x2e69b869f7bedbd7:0xf83e4aee23eb911b!8m2!3d-6.5977311!4d106.9350111!16s%2Fg%2F11cs01tk_c!19sChIJ19u-92m4aS4RG5HrI-5KPvg?authuser=0&hl=id&rclk=1,-6.5977311,106.9350111
Next Level Adventures (NLA),Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,255,https://www.google.com/maps/place/Next+Level+Adventures+%28NLA%29/data=!4m7!3m6!1s0x2e69c725e00956f1:0xedab3d779a8c8a67!8m2!3d-6.5770793!4d106.8905171!16s%2Fg%2F11py7lgqn6!19sChIJ8VYJ4CXHaS4RZ4qMmnc9q-0?authuser=0&hl=id&rclk=1,-6.5770793,106.8905171
Wisata Edukasi TK SD di Bogor,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.9,1615,https://www.google.com/maps/place/Wisata+Edukasi+TK+SD+di+Bogor/data=!4m7!3m6!1s0x2e69c6eb1a26803b:0xf7a84ee1b7a1f68b!8m2!3d-6.5757239!4d106.8403557!16s%2Fg%2F11bymykydq!19sChIJO4AmGuvGaS4Ri_aht-FOqPc?authuser=0&hl=id&rclk=1,-6.5757239,106.8403557
Taman Hutan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,58,https://www.google.com/maps/place/Taman+Hutan+Sentul/data=!4m7!3m6!1s0x2e69b883f8d3fdc7:0xfd03589b8d05e548!8m2!3d-6.5720218!4d106.9129724!16s%2Fg%2F11fzy_4_lv!19sChIJx_3T-IO4aS4RSOUFjZtYA_0?authuser=0&hl=id&rclk=1,-6.5720218,106.9129724
sentul eco edu tourism forest,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,313,https://www.google.com/maps/place/sentul+eco+edu+tourism+forest/data=!4m7!3m6!1s0x2e69b94cb04ae973:0xf5158b999cd05369!8m2!3d-6.5724577!4d106.9129037!16s%2Fg%2F11fmpxsyt4!19sChIJc-lKsEy5aS4RaVPQnJmLFfU?authuser=0&hl=id&rclk=1,-6.5724577,106.9129037
Taman Fathan Hambalang,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,4853,https://www.google.com/maps/place/Taman+Fathan+Hambalang/data=!4m7!3m6!1s0x2e69c17136f4205f:0x22e4edc2296f993d!8m2!3d-6.5409841!4d106.8854931!16s%2Fg%2F11j23nz5cc!19sChIJXyD0NnHBaS4RPZlvKcLt5CI?authuser=0&hl=id&rclk=1,-6.5409841,106.8854931
Gunung Pancar Tour Wisata Hot Spring Water,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,505,https://www.google.com/maps/place/Gunung+Pancar+Tour+Wisata+Hot+Spring+Water/data=!4m7!3m6!1s0x2e69b87f6d95e303:0x157f3ab64484c1c6!8m2!3d-6.5808538!4d106.9046265!16s%2Fg%2F1pzqrsk_l!19sChIJA-OVbX-4aS4RxsGERLY6fxU?authuser=0&hl=id&rclk=1,-6.5808538,106.9046265
Ah Poong Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,9431,https://www.google.com/maps/place/Ah+Poong+Sentul/data=!4m7!3m6!1s0x2e69c6ec0ebe7b61:0x2bcec953608237d!8m2!3d-6.5703523!4d106.8460526!16s%2Fg%2F11fxx4p67c!19sChIJYXu-DuzGaS4RfSMINpXsvAI?authuser=0&hl=id&rclk=1,-6.5703523,106.8460526
